15.082256,31.820196
16.775008,39.409982
16.150492,44.628659
16.669011,49.817762
17.805870,52.369145
22.085020,57.469616
28.611084,58.231077
36.585495,59.636051
46.216359,57.030229
56.022380,56.491628
63.957156,56.790674
71.438486,57.192458
78.986924,56.252283
84.122688,58.171904
87.751251,58.793132
88.324362,61.271172
88.885313,67.271846
88.435950,72.809303
88.007069,77.263397
85.697294,79.995869
79.052968,82.322863
72.929600,83.484210
67.610204,82.113236
62.682024,82.348661
56.712547,82.384062
51.188987,82.539640
49.148533,82.286158
46.354971,83.807478
44.645376,84.871426
44.281073,86.570668
44.648752,88.863127
43.646714,89.902874
44.582491,92.690621
44.085542,93.769720
