1.266574,2.101083
3.101782,1.756320
0.736594,0.729049
0.139396,1.710903
1.883514,4.208602
1.999600,1.201977
1.151575,1.872668
0.108939,3.429264
0.197647,0.228161
0.138438,0.737906
0.386418,0.212448
0.903906,0.493532
0.016723,0.941703
0.127745,1.108310
0.592898,0.235425
0.040843,1.401301
0.168357,0.594585
0.085445,0.398858
0.258656,0.731987
0.040675,0.716101
0.215922,0.463919
0.391879,0.808753
0.409949,0.846724
0.366608,0.412689
0.846115,0.369877
1.918463,0.181731
0.433958,0.637917
0.645711,0.003856
1.339931,0.223169
1.087363,0.263635
1.347593,0.502945
1.207578,0.287282
1.197187,0.717955
0.214312,0.003871
